nome,estado,partido
MOISÉS DINIZ,AC,PCdoB
MOSES RODRIGUES,CE,MDB
NELSON MARQUEZELLI,SP,PTB
NELSON MEURER,PR,PP
NELSON PADOVANI,PR,PSDB
NELSON PELLEGRINO,BA,PT
NEWTON CARDOSO JR,MG,MDB
NILSON LEITÃO,MT,PSDB
NILSON PINTO,PA,PSDB
NILTO TATTO,SP,PT
NILTON CAPIXABA,RO,PTB
NIVALDO ALBUQUERQUE,AL,PTB
NORMA AYUB,ES,DEM
ODAIR CUNHA,MG,PT
ODORICO MONTEIRO,CE,PSB
ONYX LORENZONI,RS,DEM
ORLANDO SILVA,SP,PCdoB
OSMAR BERTOLDI,PR,DEM
OSMAR SERRAGLIO,PR,PP
OSMAR TERRA,RS,MDB
OSVALDO MAFRA,SC,SD
OTAVIO LEITE,RJ,PSDB
PADRE JOÃO,MG,PT
PAES LANDIM,PI,PTB
PASTOR EURICO,PE,PATRI
PASTOR LUCIANO BRAGA,BA,PRB
PATRUS ANANIAS,MG,PT
PAUDERNEY AVELINO,AM,DEM
PAULÃO,AL,PT
PAULO ABI-ACKEL,MG,PSDB
PAULO AZI,BA,DEM
PAULO FEIJÓ,RJ,PR
PAULO FOLETTO,ES,PSB
PAULO FREIRE,SP,PR
PAULO MAGALHÃES,BA,PSD
PAULO PEREIRA DA SILVA,SP,SD
PAULO PIMENTA,RS,PT
PAULO TEIXEIRA,SP,PT
PEDRO CHAVES,GO,MDB
PEDRO CUNHA LIMA,PB,PSDB
PEDRO FERNANDES,MA,PTB
PEDRO PAULO,RJ,DEM
PEDRO UCZAI,SC,PT
PEDRO VILELA,AL,PSDB
PEPE VARGAS,RS,PT
POLLYANA GAMA,SP,PPS
POMPEO DE MATTOS,RS,PDT
PR. MARCO FELICIANO,SP,PODE
PROF. GEDEÃO AMORIM,AM,MDB
PROFESSOR PACCO,DF,PODE
PROFESSOR VICTÓRIO GALLI,MT,PSL
PROFESSORA DORINHA SEABRA REZENDE,TO,DEM
PROFESSORA MARCIVANIA,AP,PCdoB
RAFAEL MOTTA,RN,PSB
RAIMUNDO GOMES DE MATOS,CE,PSDB
RAQUEL MUNIZ,MG,PSD
REGINALDO LOPES,MG,PT
REINHOLD STEPHANES,PR,PSD
REJANE DIAS,PI,PT
REMÍDIO MONAI,RR,PR
RENATA ABREU,SP,PODE
RENATO ANDRADE,MG,PP
RENATO MOLLING,RS,PP
RENZO BRAZ,MG,PP
RICARDO BARROS,PR,PP
RICARDO IZAR,SP,PP
RICARDO TEOBALDO,PE,PODE
RICARDO TRIPOLI,SP,PSDB
ROBERTO ALVES,SP,PRB
ROBERTO BALESTRA,GO,PP
ROBERTO BRITTO,BA,PP
ROBERTO DE LUCENA,SP,PODE
ROBERTO FREIRE,SP,PPS
ROBERTO GÓES,AP,PDT
ROBERTO SALES,RJ,DEM
ROCHA,AC,PSDB
RODRIGO DE CASTRO,MG,PSDB
RODRIGO GARCIA,SP,DEM
RODRIGO MAIA,RJ,DEM
RODRIGO MARTINS,PI,PSB
RODRIGO PACHECO,MG,DEM
ROGÉRIO MARINHO,RN,PSDB
ROGÉRIO PENINHA MENDONÇA,SC,MDB
ROGÉRIO ROSSO,DF,PSD
RÔMULO GOUVEIA,PB,PSD
RONALDO BENEDET,SC,MDB
RONALDO CARLETTO,BA,PP
RONALDO FONSECA,DF,PODE
RONALDO LESSA,AL,PDT
RONALDO MARTINS,CE,PRB
RONALDO NOGUEIRA,RS,PTB
RÔNEY NEMER,DF,PP
ROSANGELA GOMES,RJ,PRB
ROSINHA DA ADEFAL,AL,AVANTE
ROSSONI,PR,PSDB
RUBENS BUENO,PR,PPS
RUBENS OTONI,GO,PT
RUBENS PEREIRA JÚNIOR,MA,PCdoB
SÁGUAS MORAES,MT,PT
SAMUEL MOREIRA,SP,PSDB
SANDES JÚNIOR,GO,PP
SANDRO ALEX,PR,PSD
SARAIVA FELIPE,MG,MDB
SARNEY FILHO,MA,PV
SEBASTIÃO OLIVEIRA,PE,PR
SÉRGIO BRITO,BA,PSD
SÉRGIO MORAES,RS,PTB
SÉRGIO REIS,SP,PRB
SERGIO SOUZA,PR,MDB
SERGIO VIDIGAL,ES,PDT
SERGIO ZVEITER,RJ,DEM
SEVERINO NINHO,PE,PSB
SHÉRIDAN,RR,PSDB
SIBÁ MACHADO,AC,PT
SILAS CÂMARA,AM,PRB
SILAS FREIRE,PI,PODE
SILVIO COSTA,PE,AVANTE
SILVIO TORRES,SP,PSDB
SIMÃO SESSIM,RJ,PP
SIMONE MORGADO,PA,MDB
SORAYA SANTOS,RJ,PR
SÓSTENES CAVALCANTE,RJ,DEM
STEFANO AGUIAR,MG,PSD
SUBTENENTE GONZAGA,MG,PDT
TADEU ALENCAR,PE,PSB
TAKAYAMA,PR,PSC
TENENTE LÚCIO,MG,PR
TEREZA CRISTINA,MS,DEM
THIAGO PEIXOTO,GO,PSD
TIA ERON,BA,PRB
TIRIRICA,SP,PR
TONINHO PINHEIRO,MG,PP
TONINHO WANDSCHEER,PR,PROS
ULDURICO JUNIOR,BA,PPL
VAIDON OLIVEIRA,CE,PROS
VALADARES FILHO,SE,PSB
VALDIR COLATTO,SC,MDB
VALMIR ASSUNÇÃO,BA,PT
VALMIR PRASCIDELLI,SP,PT
VALTENIR PEREIRA,MT,MDB
VANDER LOUBET,MS,PT
VANDERLEI MACRIS,SP,PSDB
VENEZIANO VITAL DO RÊGO,PB,PSB
VICENTE ARRUDA,CE,PR
VICENTE CANDIDO,SP,PT
VICENTINHO,SP,PT
VICENTINHO JÚNIOR,TO,PR
VICTOR MENDES,MA,MDB
VINICIUS CARVALHO,SP,PRB
VINICIUS GURGEL,AP,PR
VITOR LIPPI,SP,PSDB
VITOR PAULO,DF,PRB
VITOR VALIM,CE,PROS
WADIH DAMOUS,RJ,PT
WALDENOR PEREIRA,BA,PT
WALDIR MARANHÃO,MA,PSDB
WALNEY ROCHA,RJ,PATRI
WALTER ALVES,RN,MDB
WALTER IHOSHI,SP,PSD
WASHINGTON CORAÇÃO VALENTE,RS,PDT
WELITON PRADO,MG,PROS
WELLINGTON ROBERTO,PB,PR
WEVERTON ROCHA,MA,PDT
WILSON BESERRA,RJ,MDB
WILSON FILHO,PB,PTB
WLADIMIR COSTA,PA,SD
WOLNEY QUEIROZ,PE,PDT
XUXU DAL MOLIN,MT,PSC
YEDA CRUSIUS,RS,PSDB
ZÉ AUGUSTO NALIN,RJ,DEM
ZÉ CARLOS,MA,PT
ZÉ GERALDO,PA,PT
ZÉ SILVA,MG,SD
ZECA CAVALCANTI,PE,PTB
ZECA DIRCEU,PR,PT
ZECA DO PT,MS,PT
ZENAIDE MAIA,RN,PHS
